scenario,seed,window_id,window_start,window_end,target_packets,target_received,background_packets,loss_rate,target_rate,background_rate,mean_delay,p95_delay,p99_delay,received_violation_prob,violation_prob
load_high,17,10,105.0,115.0,1853,1853,120,0.0,185.3,12.0,0.002265110383162439,0.004222721999999997,0.0061453064,0.0,0.0
load_high,17,11,115.0,125.0,904,904,58,0.0,90.4,5.8,0.0022722034513274337,0.0043415325,0.005667848400000002,0.0,0.0
load_high,19,0,5.0,15.0,1863,1862,118,0.0005367686527106841,186.3,11.8,0.00239247604726101,0.004848638,0.007225819499999998,0.0010741138560687433,0.001610305958132045
load_high,19,1,15.0,25.0,1912,1912,121,0.0,191.2,12.1,0.002281680967573222,0.004385674499999999,0.006201217099999998,0.0,0.0
load_high,19,2,25.0,35.0,1902,1902,118,0.0,190.2,11.8,0.0022480300210304944,0.004291418499999995,0.005863958900000001,0.0,0.0
load_high,19,3,35.0,45.0,1794,1794,118,0.0,179.4,11.8,0.0022284346432552954,0.004176738499999999,0.005722388199999993,0.0,0.0
load_high,19,4,45.0,55.0,1932,1932,120,0.0,193.2,12.0,0.0023121975621118013,0.004503554499999999,0.006048052000000001,0.0,0.0
load_high,19,5,55.0,65.0,1792,1792,118,0.0,179.2,11.8,0.002291376160714286,0.004441628999999996,0.005900629999999993,0.0,0.0
load_high,19,6,65.0,75.0,1908,1908,121,0.0,190.8,12.1,0.0023236644549266246,0.0044372584999999975,0.005962965500000001,0.0,0.0
load_high,19,7,75.0,85.0,1858,1858,118,0.0,185.8,11.8,0.0023318265715823465,0.004604846999999999,0.00626355380000001,0.0005382131324004305,0.0005382131324004305
load_high,19,8,85.0,95.0,1874,1874,120,0.0,187.4,12.0,0.0022986070064034154,0.004447924999999999,0.006420814199999998,0.0,0.0
load_high,19,9,95.0,105.0,1780,1780,118,0.0,178.0,11.8,0.0022676596629213485,0.004219145,0.005983023500000004,0.0,0.0
load_high,19,10,105.0,115.0,1842,1842,120,0.0,184.2,12.0,0.002257760884907709,0.004368341999999999,0.0061212899,0.0,0.0
load_high,19,11,115.0,125.0,958,958,58,0.0,95.8,5.8,0.002164344665970773,0.003831161499999999,0.005250779999999984,0.0,0.0
load_high,23,0,5.0,15.0,1884,1884,118,0.0,188.4,11.8,0.0023095618524416137,0.004494708,0.006227264400000003,0.0005307855626326964,0.0005307855626326964
load_high,23,1,15.0,25.0,1868,1868,121,0.0,186.8,12.1,0.0022460292344753745,0.0043318919999999995,0.005699419899999997,0.0,0.0
load_high,23,2,25.0,35.0,1758,1758,118,0.0,175.8,11.8,0.002269754306029579,0.004551645499999999,0.006161929400000004,0.0005688282138794084,0.0005688282138794084
load_high,23,3,35.0,45.0,1841,1841,118,0.0,184.1,11.8,0.002250011711026616,0.00432648,0.005767723999999993,0.0,0.0
