seed,scenario,variant,variant_label,delay_mae,risk_mae,coverage,auroc,recall_at_10
17,drift_strong,c_u_1.5x,$c_u$ 1.5x,0.7034261851957836,1.4099457776756474,0.672,0.8131555555555555,0.48
17,overall,c_u_2x,$c_u$ 2x,0.015626973300758663,0.05239777663308822,0.96,0.864,0.4
17,load_high,c_u_2x,$c_u$ 2x,0.1384892449277539,0.5026066125951323,0.644,0.7560888888888889,0.2
17,vacation_high,c_u_2x,$c_u$ 2x,0.04743071793460287,0.1746496017553212,0.92,0.8609777777777777,0.44
17,drift_strong,c_u_2x,$c_u$ 2x,0.7031700569354037,1.4093484940223795,0.676,0.8124444444444444,0.48
17,overall,c_b_0x,$c_b$ 0x,0.015441409251750794,0.05252306492834998,0.96,0.8634666666666667,0.4
17,load_high,c_b_0x,$c_b$ 0x,0.1392669452091961,0.5045400253262624,0.636,0.7562666666666666,0.2
17,vacation_high,c_b_0x,$c_b$ 0x,0.04833534085164028,0.17630315350258943,0.908,0.8608,0.44
17,drift_strong,c_b_0x,$c_b$ 0x,0.7040357229740833,1.4145167571978166,0.668,0.8129777777777778,0.48
17,overall,c_b_0.5x,$c_b$ 0.5x,0.015459040573091129,0.052511951488592015,0.96,0.8638222222222223,0.4
17,load_high,c_b_0.5x,$c_b$ 0.5x,0.13915841882439184,0.5042597575947204,0.636,0.7562666666666666,0.2
17,vacation_high,c_b_0.5x,$c_b$ 0.5x,0.04822791339721943,0.17608101986332017,0.908,0.8608,0.44
17,drift_strong,c_b_0.5x,$c_b$ 0.5x,0.7038601200622887,1.4140235944897859,0.668,0.8126222222222222,0.48
17,overall,c_b_1.5x,$c_b$ 1.5x,0.015494303215771795,0.052489814391564284,0.96,0.8648888888888889,0.4
17,load_high,c_b_1.5x,$c_b$ 1.5x,0.1389433703432509,0.5036966041601904,0.636,0.7550222222222223,0.2
17,vacation_high,c_b_1.5x,$c_b$ 1.5x,0.04801305848837775,0.17566345028995875,0.908,0.8611555555555556,0.44
17,drift_strong,c_b_1.5x,$c_b$ 1.5x,0.7035089142386994,1.413038436715944,0.668,0.8119111111111111,0.48
17,overall,c_b_2x,$c_b$ 2x,0.015511961682561163,0.05248281947527346,0.96,0.8647111111111111,0.4
17,load_high,c_b_2x,$c_b$ 2x,0.1388379818519468,0.5034137111491169,0.636,0.7548444444444444,0.2
17,vacation_high,c_b_2x,$c_b$ 2x,0.04790789215710385,0.1754538645105563,0.908,0.8616888888888888,0.44
17,drift_strong,c_b_2x,$c_b$ 2x,0.7033334914564136,1.4095461007599441,0.668,0.8126222222222222,0.48
17,overall,delta_u_0.04,$\delta_u=0.04$,0.015476671894431462,0.05250086802658887,0.96,0.8641777777777778,0.4
17,load_high,delta_u_0.04,$\delta_u=0.04$,0.13904989243958757,0.5039786184261276,0.636,0.7555555555555555,0.2
17,vacation_high,delta_u_0.04,$\delta_u=0.04$,0.04812048594279859,0.17587250090193937,0.908,0.8608,0.44
17,drift_strong,delta_u_0.04,$\delta_u=0.04$,0.703684517150494,1.4135308243246316,0.668,0.8126222222222222,0.48
17,overall,delta_u_0.12,$\delta_u=0.12$,0.015476671894431462,0.05250086802658887,0.96,0.8641777777777778,0.4
17,load_high,delta_u_0.12,$\delta_u=0.12$,0.13904989243958757,0.5039786184261276,0.636,0.7555555555555555,0.2
17,vacation_high,delta_u_0.12,$\delta_u=0.12$,0.04812048594279859,0.17587250090193937,0.908,0.8608,0.44
17,drift_strong,delta_u_0.12,$\delta_u=0.12$,0.703684517150494,1.4135308243246316,0.668,0.8126222222222222,0.48
17,overall,delta_u_0.16,$\delta_u=0.16$,0.015476671894431462,0.05250086802658887,0.96,0.8641777777777778,0.4
17,load_high,delta_u_0.16,$\delta_u=0.16$,0.13904989243958757,0.5039786184261276,0.636,0.7555555555555555,0.2
17,vacation_high,delta_u_0.16,$\delta_u=0.16$,0.04812048594279859,0.17587250090193937,0.908,0.8608,0.44
17,drift_strong,delta_u_0.16,$\delta_u=0.16$,0.703684517150494,1.4135308243246316,0.668,0.8126222222222222,0.48
19,overall,baseline,Baseline,0.016928267241889793,0.057161503476149775,0.976,0.8736,0.4
19,load_high,baseline,Baseline,0.1250214708297208,0.4563080253874277,0.696,0.7708444444444444,0.16
19,vacation_high,baseline,Baseline,0.0509348246933639,0.1890365807191599,0.92,0.8531555555555556,0.44
19,drift_strong,baseline,Baseline,0.5950235331911714,1.3083158176530543,0.688,0.7376,0.28
19,overall,c_v_0x,$c_v$ 0x,0.016935328757586632,0.05743625327524666,0.976,0.8734222222222222,0.4
19,load_high,c_v_0x,$c_v$ 0x,0.12541828542989794,0.4570376067047265,0.696,0.7708444444444444,0.16
19,vacation_high,c_v_0x,$c_v$ 0x,0.05162543879932828,0.190310708089622,0.92,0.8531555555555556,0.44
19,drift_strong,c_v_0x,$c_v$ 0x,0.5955586324194683,1.3097312948334725,0.688,0.7376,0.28
19,overall,c_v_0.5x,$c_v$ 0.5x,0.016930493966534736,0.05729757959536121,0.976,0.8736,0.4
19,load_high,c_v_0.5x,$c_v$ 0.5x,0.12521898859161654,0.4566731404577231,0.696,0.7708444444444444,0.16
19,vacation_high,c_v_0.5x,$c_v$ 0.5x,0.05127896470206513,0.18967183387915518,0.92,0.8531555555555556,0.44
19,drift_strong,c_v_0.5x,$c_v$ 0.5x,0.5952910828053197,1.3090242320077776,0.688,0.7376,0.28
19,overall,c_v_1.5x,$c_v$ 1.5x,0.016929593138609412,0.05702539950931755,0.976,0.8739555555555556,0.4
19,load_high,c_v_1.5x,$c_v$ 1.5x,0.12482670729505156,0.4559454528089381,0.696,0.7708444444444444,0.16
19,vacation_high,c_v_1.5x,$c_v$ 1.5x,0.05059682938459998,0.18840228369692294,0.92,0.8531555555555556,0.44
19,drift_strong,c_v_1.5x,$c_v$ 1.5x,0.5947562536220363,1.3076060489133752,0.688,0.7376,0.28
19,overall,c_v_2x,$c_v$ 2x,0.016934985166430376,0.05689370226363492,0.976,0.8739555555555556,0.4
19,load_high,c_v_2x,$c_v$ 2x,0.12463194376038232,0.455583069367155,0.696,0.7708444444444444,0.16
19,vacation_high,c_v_2x,$c_v$ 2x,0.05026707344053274,0.18776652700387483,0.92,0.8531555555555556,0.44
19,drift_strong,c_v_2x,$c_v$ 2x,0.594491640009086,1.3068949229276718,0.688,0.7376,0.28
19,overall,c_u_0x,$c_u$ 0x,0.016885932103533723,0.05747351793451687,0.976,0.8737777777777778,0.4
19,load_high,c_u_0x,$c_u$ 0x,0.1255785703996199,0.45742185725098383,0.7,0.7704888888888889,0.16
19,vacation_high,c_u_0x,$c_u$ 0x,0.0516494669332807,0.19045061771962868,0.92,0.8531555555555556,0.44
19,drift_strong,c_u_0x,$c_u$ 0x,0.5957169767513162,1.3102026906967337,0.688,0.7384888888888889,0.28
19,overall,c_u_0.5x,$c_u$ 0.5x,0.016903835592387475,0.05731237997693751,0.976,0.8739555555555556,0.4
19,load_high,c_u_0.5x,$c_u$ 0.5x,0.1252991310764775,0.4568659305351579,0.696,0.7706666666666667,0.16
19,vacation_high,c_u_0.5x,$c_u$ 0.5x,0.051290978769041345,0.1897424500127761,0.92,0.8531555555555556,0.44
19,drift_strong,c_u_0.5x,$c_u$ 0.5x,0.59537005820984,1.3092524659136036,0.688,0.7381333333333333,0.28
19,overall,c_u_1.5x,$c_u$ 1.5x,0.016955403486006212,0.05701321459835698,0.976,0.8736,0.4
19,load_high,c_u_1.5x,$c_u$ 1.5x,0.12474527832191902,0.45575322871414947,0.696,0.7712,0.16
19,vacation_high,c_u_1.5x,$c_u$ 1.5x,0.050593230990582945,0.18833497804995594,0.92,0.8533333333333334,0.44
19,drift_strong,c_u_1.5x,$c_u$ 1.5x,0.5946770081725027,1.3073752679980555,0.688,0.7372444444444445,0.28
19,overall,c_u_2x,$c_u$ 2x,0.01699191413109838,0.056869151763908755,0.976,0.8734222222222222,0.4
19,load_high,c_u_2x,$c_u$ 2x,0.12446908581411725,0.45519727531098253,0.688,0.7706666666666667,0.16
19,vacation_high,c_u_2x,$c_u$ 2x,0.050261279719167835,0.18763059651390374,0.916,0.8533333333333334,0.44
19,drift_strong,c_u_2x,$c_u$ 2x,0.5943407756139304,1.3064307918323912,0.688,0.7370666666666666,0.28
19,overall,c_b_0x,$c_b$ 0x,0.016920686932427462,0.05724126259150927,0.976,0.8736,0.4
19,load_high,c_b_0x,$c_b$ 0x,0.1251945567411475,0.4566283987232458,0.696,0.7706666666666667,0.16
19,vacation_high,c_b_0x,$c_b$ 0x,0.05108756306081746,0.18934128847625606,0.92,0.8536888888888889,0.44
19,drift_strong,c_b_0x,$c_b$ 0x,0.5953850302154562,1.3094334702227544,0.688,0.7374222222222222,0.28
19,overall,c_b_0.5x,$c_b$ 0.5x,0.016924105179906255,0.05720138161554868,0.976,0.8737777777777778,0.4
19,load_high,c_b_0.5x,$c_b$ 0.5x,0.12510801378543412,0.45646843585696495,0.696,0.7706666666666667,0.16
19,vacation_high,c_b_0.5x,$c_b$ 0.5x,0.05101119387709068,0.18918653952344272,0.92,0.8535111111111111,0.44
19,drift_strong,c_b_0.5x,$c_b$ 0.5x,0.5952042817033137,1.3088755518191049,0.688,0.7377777777777778,0.28
19,overall,c_b_1.5x,$c_b$ 1.5x,0.016933051846414835,0.057121627543225584,0.976,0.8737777777777778,0.4
19,load_high,c_b_1.5x,$c_b$ 1.5x,0.12493492787400742,0.45614844973767377,0.696,0.7704888888888889,0.16
19,vacation_high,c_b_1.5x,$c_b$ 1.5x,0.050862534379796924,0.18888851193867684,0.92,0.8526222222222222,0.44
19,drift_strong,c_b_1.5x,$c_b$ 1.5x,0.5948427846790291,1.3077538018775539,0.688,0.7376,0.28
19,overall,c_b_2x,$c_b$ 2x,0.016937836450939877,0.057081753170912464,0.976,0.8734222222222222,0.4
19,load_high,c_b_2x,$c_b$ 2x,0.12484838491829409,0.45598925949939967,0.696,0.7701333333333333,0.16
19,vacation_high,c_b_2x,$c_b$ 2x,0.050790981493392715,0.1887401613800439,0.92,0.8529777777777777,0.44
19,drift_strong,c_b_2x,$c_b$ 2x,0.5946683274545187,1.3071895017938648,0.688,0.7374222222222222,0.28
19,overall,delta_u_0.04,$\delta_u=0.04$,0.016928267241889793,0.057161503476149775,0.976,0.8736,0.4
19,load_high,delta_u_0.04,$\delta_u=0.04$,0.1250214708297208,0.4563080253874277,0.696,0.7708444444444444,0.16
19,vacation_high,delta_u_0.04,$\delta_u=0.04$,0.0509348246933639,0.1890365807191599,0.92,0.8531555555555556,0.44
19,drift_strong,delta_u_0.04,$\delta_u=0.04$,0.5950235331911714,1.3083158176530543,0.688,0.7376,0.28
19,overall,delta_u_0.12,$\delta_u=0.12$,0.016928267241889793,0.057161503476149775,0.976,0.8736,0.4
19,load_high,delta_u_0.12,$\delta_u=0.12$,0.1250214708297208,0.4563080253874277,0.696,0.7708444444444444,0.16
