seed,scenario,method,delay_mae,risk_mae,coverage,auroc,recall_at_10
17,vacation_high,learned_descriptor,0.04812048594279859,0.17587250090193937,0.908,0.8608,0.44
17,vacation_high,observable_descriptor,0.05566973530639153,0.17667066908005122,0.968,0.8999111111111111,0.4
17,drift_strong,learned_descriptor,0.703684517150494,1.4135308243246316,0.668,0.8126222222222222,0.48
17,drift_strong,observable_descriptor,0.6750976358848689,1.3060912101961863,0.844,0.8842666666666666,0.4
19,overall,learned_descriptor,0.016928267241889793,0.057161503476149775,0.976,0.8736,0.4
19,overall,observable_descriptor,0.019778684401977917,0.06213051476168444,0.976,0.8695111111111111,0.32
19,load_high,learned_descriptor,0.1250214708297208,0.4563080253874277,0.696,0.7708444444444444,0.16
19,load_high,observable_descriptor,0.19704271173457846,0.6104651080228659,0.916,0.9006222222222222,0.56
19,vacation_high,learned_descriptor,0.0509348246933639,0.1890365807191599,0.92,0.8531555555555556,0.44
19,vacation_high,observable_descriptor,0.05959645821420766,0.18164388180360092,0.952,0.8675555555555555,0.56
19,drift_strong,learned_descriptor,0.5950235331911714,1.3083158176530543,0.688,0.7376,0.28
19,drift_strong,observable_descriptor,0.6804231815477716,1.3450458187120935,0.848,0.8371555555555555,0.32
23,overall,learned_descriptor,0.014650774051657704,0.052371051174649755,0.98,0.8654222222222222,0.44
23,overall,observable_descriptor,0.017112753294434613,0.053277523338228425,0.988,0.8593777777777778,0.44
23,load_high,learned_descriptor,0.12734212145976867,0.4769892535088683,0.696,0.7635555555555555,0.28
23,load_high,observable_descriptor,0.2431230980089864,0.7313847046060385,0.9,0.7838222222222222,0.32
23,vacation_high,learned_descriptor,0.04806338258803515,0.16968687732349808,0.944,0.8195555555555556,0.4
23,vacation_high,observable_descriptor,0.05318014558513084,0.1858679080141225,0.98,0.8133333333333334,0.36
23,drift_strong,learned_descriptor,0.6990417874950667,1.4626466354135044,0.676,0.8156444444444444,0.4
23,drift_strong,observable_descriptor,0.8392068003261057,1.6260665826864553,0.836,0.8359111111111112,0.36
29,overall,learned_descriptor,0.016649385726267625,0.06368925881477956,0.98,0.8723555555555556,0.4
29,overall,observable_descriptor,0.02000173945396345,0.0661929887451481,0.992,0.8604444444444445,0.4
29,load_high,learned_descriptor,0.14713556228091304,0.5105539726437865,0.72,0.7717333333333334,0.24
29,load_high,observable_descriptor,0.26079164403777627,0.7730868585659612,0.94,0.8167111111111112,0.44
29,vacation_high,learned_descriptor,0.04752982640033554,0.18375109004230866,0.96,0.8419555555555556,0.36
29,vacation_high,observable_descriptor,0.05147429310488338,0.1823613824941052,0.984,0.9002666666666667,0.52
29,drift_strong,learned_descriptor,0.6710684523690442,1.3692487486828178,0.728,0.8055111111111111,0.36
29,drift_strong,observable_descriptor,0.6489680897415626,1.2586969284739082,0.88,0.8912,0.36
31,overall,learned_descriptor,0.0156216935229028,0.054456141256964505,0.98,0.8682666666666666,0.48
31,overall,observable_descriptor,0.018443107609696106,0.05691320384265014,0.976,0.8773333333333333,0.36
31,load_high,learned_descriptor,0.14521695554735933,0.5163453093039426,0.66,0.7413333333333333,0.2
31,load_high,observable_descriptor,0.24514988081984715,0.7302146994452209,0.9,0.8204444444444444,0.4
31,vacation_high,learned_descriptor,0.0438460369620321,0.16691858504043008,0.964,0.8289777777777778,0.32
31,vacation_high,observable_descriptor,0.04001479119194625,0.14547464148969044,0.984,0.8307555555555556,0.4
31,drift_strong,learned_descriptor,0.6310278159554433,1.3304584282086247,0.708,0.8176,0.36
31,drift_strong,observable_descriptor,0.7283411482203569,1.4138868214719538,0.836,0.8933333333333333,0.36
37,overall,learned_descriptor,0.015309572713741082,0.05167876784991687,0.98,0.8954666666666666,0.52
37,overall,observable_descriptor,0.017316232210802515,0.05048381629721636,0.984,0.8892444444444444,0.6
37,load_high,learned_descriptor,0.12251704381276822,0.4545997858625683,0.724,0.8044444444444444,0.24
37,load_high,observable_descriptor,0.24405019087276553,0.7547148349804711,0.924,0.8993777777777778,0.44
37,vacation_high,learned_descriptor,0.03845067296965672,0.13816307174811546,0.968,0.8622222222222222,0.48
37,vacation_high,observable_descriptor,0.05634393888949672,0.19046679773878689,0.984,0.8672,0.4
37,drift_strong,learned_descriptor,0.7355426363120893,1.4834325543366091,0.716,0.8330666666666666,0.52
37,drift_strong,observable_descriptor,0.7017733370241896,1.3144136199482603,0.876,0.9308444444444445,0.48
41,overall,learned_descriptor,0.016541777991325095,0.0608894462828094,0.96,0.8515555555555555,0.36
41,overall,observable_descriptor,0.01910717944080803,0.06185974276825979,0.968,0.8723555555555556,0.44
41,load_high,learned_descriptor,0.12663817301314687,0.44416349379983155,0.656,0.7904,0.16
41,load_high,observable_descriptor,0.21246763035420202,0.638419636595865,0.916,0.8791111111111111,0.52
41,vacation_high,learned_descriptor,0.042036847981193004,0.16652779349421543,0.912,0.856,0.48
